id,old,new,sentiment,bert_pred_id,bert_pred
16,Divanxanalarda heç mirzәliyә dә götürmürlәr. ,Divanxanalarda heç kim mirzəni qəbul etmir.,neutral,1,negative
17,Allah baisin evini yıxsın.,Allah evini dağıtsın.,negative,1,negative
18,"Bari pәrvәrdigara, sәnin qüdrәtini tәrif elәmәyә dilim laldır.","Amma Allahım, sənin qüdrətini tərifləməyə söz tapmıram.",negative,3,neutral
19,"Ay ana, yazıq ana, dәxi qüssә elәmә, oğlun Kәrbәlayı Fәtulah dirilib. ","Ana, incimə, oğlun Kərbəlai Fətulah sağ-salamat qayıdıb.",positive,1,negative
20,Bir neçә gündәn sonra sәnә Xorasandan qırmızı başmaq gәtirәcәk.,Bir neçə gün sonra sənə Xorasandan qırmızı başmaq gətiriləcək.,negative,1,negative
21,"Min lәnәt olsun o kәslәrә ki, xudavәndi-alәmin hikmәtinә şәkk gәtirәlәr!","O kəslərə lənət olsun ki, Allahın hikmətinə şübhə gətirirlər!",neutral,5,positive
22,Mәn vә mәndәn savayı yüz on dörd nәfәr qәbirdәn ricәt edib.,Mən və mənimlə birlikdə 114 nəfər qəbirdən dua etdik.,positive,1,negative
23,"Ancaq indi müxtәsәr surәtdә bunu deyә bilәrәm ki, Mәşhәdi-müqәddәsdә bir abid peyda olub, bunun ismi-şәrifi Şeyx Nәsrullahdır.","İndi qısa şəkildə deyə bilərəm ki, Məşhədi-müqəddəsdə bir abid peyda olub, adı Şeyx Nəsrullahdır.",neutral,3,neutral
24,"Şeyx cәnabları neçә illәr ilә İsfahanda ülumi-xәfiyyatı tәhsil edәndәn sonra, tәşrif gәtiriblәr Xorasana.",Şeyx cənabları bir neçə il İsfahanda elmi-təhsil aldıqdan sonra Xorasana gəliblər.,negative,2,negative
25,"Burada neçә ay riyazәti-tam vә mücahideyi-lakәlamdan sonra, hәmin elmin xәfayasının istinbatına vә istixracına müttәle olub.",Burada bir neçə ay riyazət və elm çalışmasından sonra elmin tətbiqini öyrəniblər.,negative,4,positive
26,"Axırda bu niyyәtә düşüb ki, sübhanә vә tәalanın mәrhәmәtilә tәsxiri-әrvahә iqdam elәsin.","Axırda məqsəd belə olub ki, Allahın mərhəməti ilə ruhları xilas etsin.",positive,2,negative
27,"Macәranın tәfsilini, inşallah, gәlәndә özüm dil-cavabı nağıl elәrәm vә sәn eşidib mat vә heyran qalarsan. ","Macəranın təfsilini gələcəkdə özüm danışacağam, eşidəndə təəccüblənəcəksiniz.",negative,4,positive
28,"Cәmadiyәl-axirin on sәkkizinci günü, qәmәr süfla alәminә yavuqlaşan saatda, şeyx cәnabları Mәşhәdi-müqәddәsdә qürәba qәbristanına әhli-qübur ziyarәtinә gәlib.","Cəmadiyəl-axirin 18-ci günü, ayın qürub saatında, Şeyx cənabları Məşhədi-müqəddəsdə qəbirləri ziyarət edib.",neutral,5,positive
29,"Tәsxirül-әmvat şәraitini әmәlә gәtirәndәn sonra, әvvәl başlayıb bir dua oxumağa vә sonra uca sәslә deyib.","Təsxirül-əvmat mərasimini etdikdən sonra əvvəl dua oxudu, sonra uca səslə danışdı.",positive,1,negative
30,"Gördüm başımın üstündә bir şәxs durub, uca qamәtli, qırx yaşında, abidi-saleh vә rәhmdil, siyәhçeşm vә rәngi-ruyi-mübarәkәş bәsәbzә mail vә ismi-mübarәkәş Şeyx Nәsrullah İsfәhani.","Başımın üstündə bir şəxs durdu, uca boylu, 40 yaşında, abid və saleh, gözləri qara, üzü xeyirxah, adı Şeyx Nəsrullah İsfəhani.",neutral,1,negative
31,Fazili-bimisl vә abidi-müqәddәs Şeyx Nәsrullah rәcәb ayının qürrәsindә Mәşhәdi-müqәddәsdәn çıxacaq.,Şeyx Nəsrullah rəcəb ayının qürrəsində Məşhədi-müqəddəsdən çıxacaq.,negative,3,neutral
32,"Şeyx cәnablarının qәsdi bizim şәhәrimizdә bir gün qalıb vә әhli-qübur ziyarәtinә müşәrrәf olub, sonra yola düşüb getmәkdir.","Şeyx cənabları bir gün bizim şəhərdə qalıb, qəbir ziyarətinə qatıldılar, sonra yola çıxdılar.",negative,1,negative
33,"Ayın yeddisindә ya sәkkizindә şeyx cәnablarının pişvazına çıxıb, o pak vücuda layiqincә ehtiram göstәrsinlәr.",Ayın 7-si və ya 8-i şeyx cənablarının pişvazına çıxıb ehtiram göstərsinlər.,positive,1,negative
34,Bәlkә ağanın fәzilәtinin kәramәt vә mәrhәmәtindәn mәnim hәmşәhәrlilәrim bibәhrә qalmasınlar. ,Ağanın fəzilət və mərhəmətindən mənim həmşəhərlilərim faydalansınlar.,negative,5,positive
35,Hәr iki әlini göyә qalxızıb ağlayır.,Hər iki əlini qaldırıb ağlayır.,neutral,1,negative
36,Allahın hikmәtinә әl aparmaq olmaz.,Allahın hikmətinə qarışmaq olmaz.,positive,1,negative
37,"A gәdә, ata arpa verin, yәhәr-әsbabı sazlayın. ","Ata, arpa verin, at üçün yem hazırlayın.",neutral,4,positive
38,"Otaqlara fәrş salsınlar, qonaq gәlәcәk.","Otaqlara xalça sərilsin, qonaq gələcək.",negative,5,positive
39,Bir az çәpik tәrpәş!,Bir az sakit ol!,negative,1,negative
40,Elә deyәsәn tifil bu saat qabağımda can verir.,"Görünür, uşaq indi qabağımda ölür.",positive,3,neutral
41,"Hey, Zeynәb, vallah, fәndini duymuşam!","Hey, Zeynəb, vallah, dərsini öyrənmisən!",negative,5,positive
42,"Get dolanginәn, xamsәn hәnuz! ","Get dolaş, hələ iş bitməyib!",positive,1,negative
43,"Allah-taalanın hәr bar bәlası gәrәk bizim vilayәtә nazil ola, Şeyx cәnabları yolda bir az naxoş olub. ","Allahın hər bəlası bu vilayətə düşsə, şeyx cənabları yolda bir az xəstə oldu.",neutral,1,negative
44,"Dadaş, elәdә qonaqdan tәvәqqe elә ki, әvvәl qabaqca mәni diriltsin.","Dadaş, qonaqdan xahiş et ki, əvvəlcə məni dirildsin.",negative,1,negative
45,Ürәk dünyanın hәvavü hәvәs mәrәzinә mübtәla olan vaxt Allahı yada salmağ rәğbәt etmәz.,Ürək dünyaya bağlı olduqda Allahı xatırlamaq olmur.,positive,3,neutral
46,"Mәrkubatın әşrәfi atdır ki, onu minәn hәmişә xәtadadır. ","Mərkubatın əşrəfi atdır ki, o həmişə səhvlidir.",negative,4,positive
47,Mәzaci-şәrifiniz inşallah sәlamәtdir?,"Ümid edirəm, mizacınız yaxşıdır?",negative,3,neutral
48,Allah-taala siz tәk ülәmanın sayәsini bizim üstümüzdәn әskik elәmәsin.,Allah-taala siz tək alimlərin köməyini bizdən əsirgəməsin.,positive,5,positive
49,"Ağayi-mәn, bu şәhәrdә sizdәn savayı da әcnәbi dәrsini oxuyan var, yainki siz iki nәfәrsiniz?","Ağayi-mən, bu şəhərdə sizdən başqa dərs oxuyan yoxdur, ya da yalnız siz ikinizsiniz?",neutral,2,negative
50,"Hacı Hәsәn ağanın oğlu da Firәngistanda oxuyub; amma çifayda ki, axırı peşimanlıq olub. ","Hacı Həsən ağanın oğlu da Fransada oxuyub, amma sonunda peşman oldu.",negative,3,neutral
