comment_text,clean_text,like_count,reply_count,emojis
Mahn?n? dolu dolu ya??yaraq ifa edib çox möht???mdir.,"Mahn?n? dolu-dolu ya?ayaraq ifa edib, çox möht???mdir.",232,0,
Tiktokdan görüb g?l?nl?r???,Tiktokdan görüb g?l?nl?r ???,801,12,???
Dinl?y?rk?n ya?ad???m hissl?ri ifad? ed? bilmir?m. D?h??tdir??,Dinl?y?rk?n ya?ad???m hissl?ri ifad? ed? bilmir?m. D?h??tdir ??,412,1,??
"A?l?ma g?lm?zdi ki , Elza xan?m?n bu mahn?s?n? bu q?d?r sev?c?m..????","A?l?ma g?lm?zdi ki, Elza xan?m?n bu mahn?s?n? bu q?d?r sev?c?m… ????",483,3,????
"Bu mahn?n?n, bu ?fan?n haqq?n? yem?m?k laz?md?. H?r ?ey ??rhsiz…","Bu mahn?n?n, bu ifan?n haqq?n? yem?m?k laz?md?r. H?r ?ey ??rhsiz…",235,4,
2025 d? qulaq asan var ?,2025-d? qulaq asan var?,338,14,
"Heç yerd?n g?lm?dim bura , 1 anda dinl?m? ist?yi g?ldi g?ldim qulaq as?m","Heç yerd?n g?lm?dim bura, bir anda dinl?m? ist?yi g?ldi, g?ldim qulaq as?m.",336,6,
1:09 hiss?sind?n ç?xa bilmir?m ??,1:09 hiss?sind?n ç?xa bilmir?m ??,65,1,??
Kim ne deyir desin menimcun Elza esil senetkardi. Kas bu bestelerinin davami gelsin. Bele musiqilere hesretik.,"Kim n? deyir desin, m?nim üçün Elza ?sl s?n?tkard?r. Ka? bu b?st?l?rinin davam? g?lsin. Bel? musiqil?r? h?sr?tik.",325,4,
"H?yatda heç vax, m?yus olmay?n, itirdim fikirl???nd?, b?lk?d? xilas olduqlar?n?zd?.","H?yatda heç vaxt m?yus olmay?n. “?tirdim” dey? fikirl???nd?, b?lk? d? xilas olduqlar?n?zd?r.",3,0,
"S?si var amma oxumur.
Gedir gic-gic ?eirl?r yaz?b özünü biab?r edir. Heyif ,s?n?, heyif","“S?si var amma oxumur. Gedib gic-gic ?eirl?r yaz?b özünü biab?r edir. Heyif s?n?, heyif.”",3,0,
"Bu s?s? d?y?r verm?y?n xalq?m?z vard?, Elza xan?m laz?m olan? etdi…","Bu s?s? d?y?r verm?y?n xalq?m?z vard?, Elza xan?m laz?m olan? etdi…",125,1,
"Bele bir sesi , eseri beyenmemek olarmi. Ka? Elza xanim yene bele ifalarina davam etse","Bel? bir s?si, bel? bir ?s?ri b?y?nm?m?k olarm?? Ka? Elza xan?m yen? bel? ifalar?na davam ets?.",287,0,
2025 18 avqust 23:20 dinl?y?nd? m?nid? ça??r?n????,"2025, 18 avqust, 23:20 dinl?y?nd? m?ni d? ça??r?n ????",24,0,????
M?n? maraql?d?r bu ifa tiktokda k??f edilm?zd?n önc? n? q?d?r bax?? say? var idi ?F?xr hissi il? dolu ?s?rl?ri k??f etdir?n tiktoku art?q sevm?y? ba?lay?ram.,"M?n? maraql?d?r, bu ifa tiktokda k??f edilm?zd?n önc? n? q?d?r bax?? say? var idi ?F?xr hissi il? dolu ?s?rl?ri k??f etdir?n tiktoku art?q sevm?y? ba?lay?ram.",50,0,
?m?liyyat?ma 2 gün qala bu mahn?n? dinl?m?k q?rib? g?ldi biraz.. ?n?allah son vida olmaz. Çünkü 2 ya?l? o?luma t?krar qovu?maq ist?y?r?m..??,?m?liyyat?ma 2 gün qala bu mahn?n? dinl?m?k q?rib? g?ldi. ?n?allah son vida olmaz. Çünki 2 ya?l? o?luma yenid?n qovu?maq ist?yir?m ??,10,6,??
"Gördü ki, s?viyy?li i?l?r gör?nd? heç k?sin vecin? deyil, o da ?er yazma?a ba?lad?, bir az da günah? özümüzd? gör?k b?lk?","Gördü ki, s?viyy?li i?l?r gör?nd? heç k?sin vecin? deyil, o da ?eir yazma?a ba?lad?. Bir az da günah? özümüzd? gör?k b?lk?.",7,0,
"Bu mahn? yeni ç?xanda bunu yüzlerce kere dinl?yib aç?lmamasi üçün yalvard?gim o q?d?r sabahlar olduki.... Ama geldi o sabahlar... ?tirdim, y?x?ld?m, öldüm, dirildim... ?ükürler olsunki ya?ad?m","Bu mahn? yeni ç?xanda bunu yüzl?rl? d?f? dinl?yib aç?lmamas? üçün yalvard???m o q?d?r sabahlar oldu ki… Amma g?ldi o sabahlar… ?tirdim, y?x?ld?m, öldüm, dirildim… ?ükürl?r olsun ki, ya?ad?m.",1,0,
Zaman zaman dinl?diyim v? h?r d?f?sind? ?n az? 10-15 d?f? ard-arda dinl?diyim v? ?ok ya?ad??m mahn?. Bu yarad?c?l??? davam etdirm?yib bizi bel? mahn?lara/?s?rl?r? möhtac qoymaq böyük haqs?zl?qd?r.,"Zaman-zaman dinl?diyim v? h?r d?f? ?n az? 10–15 d?f? ard-arda dinl?diyim, h?r dinl?y?nd? d? ?ok ya?ad???m mahn?. Bu yarad?c?l??? davam etdirm?m?k v? bizi bel? ?s?rl?r? möhtac qoymaq böyük haqs?zl?qd?r.",14,0,
gel indi weekend sohbeti geden  kruqda Elzaya qulaq asdigini denen,G?l indi weekend söhb?ti ged?n ?trafda Elzaya qulaq asd???n? de.,6,1,
Bizim son  görü?ümüz 21il qabaq oldu.A?lad?m dedim atma m?ni.ancaq getdi......S?n dem? bu son deyilmi?.Biz bu yax?nlarda t?sadüf?n rastla?d?q.M?ni ba???la dedi.kövr?ldi.Ancaq çox gec idi.......,"Bizim son görü?ümüz 21 il qabaq oldu. A?lad?m, dedim atma m?ni, ancaq getdi. S?n dem? bu son deyilmi?. Biz bu yax?nlarda t?sadüf?n rastla?d?q. “M?ni ba???la” dedi, kövr?ldi. Ancaq çox gec idi.",80,3,
Tik tokdan esidib gelmisem ilahii nece tesirlidir??Heqiqeten de cox gozel eserdi yeterince qiymetlendirilmeyib,"TikTokdan e?idib g?lmi??m. ?lahi, nec? t?sirlidir.?? H?qiq?t?n d? çox göz?l ?s?rdir, yet?rinc? qiym?tl?ndirilm?yib.",21,1,??
Hamiya Salam.,Ham?ya salam.,3,0,
bel? t?rz mahnilar olsa gunde 1000 defe izleyerem,"Bel? t?rz mahn?lar olsa, günd? 1000 d?f? izl?y?r?m.",55,0,
?nsan? hönkür-hönkür a?ladacaq ifa??,?nsan? hönkür-hönkür a?ladacaq ifa??,50,0,??
2 saat sonra menim de son vidam son goruwumdu. Getmek istemirem??,"2 saat sonra m?nim d? son vidam, son görü?ümdür. Getm?k ist?mir?m.??",252,33,??
"S?n?tçi üçün ?oubiznes intihard?, s?n?ti öldürür. Avaz?n?za sa?l?q. Ümidvaram ki, bir gün ?oubiznesd?n ç?kil?c?k v? bizi bu kimi ?s?rl?rd?n m?hrum qoymayacaqs?n?z.","S?n?tçi üçün ?oubiznes intihard?r, s?n?ti öldürür. Avaz?n?za sa?l?q. Ümidvaram ki, bir gün ?oubiznesd?n ç?kil?c?k v? bizi bu kimi ?s?rl?rd?n m?hrum qoymayacaqs?n?z.",48,0,
H?r bir insan?n h?yat?nda sabah?n aç?lmas?n? ist?m?diyi gün mütl?q olur…,H?r bir insan?n h?yat?nda sabah?n aç?lmas?n? ist?m?diyi gün mütl?q olur...,9,0,
Çox göz?l mahn?d? ba?a dü??n? ??,"Çox göz?l mahn?d?r, ba?a dü??n???",4,0,??
2026 ilk yorumu ?,2026-c? ilin ilk ??rhi?,1,0,?
Elzan?n en gözel mahn?s? budur mence. Ses tonuda çox qe?eydir. Lap keçmi?i xat?rlad?r adama??,Elzan?n ?n göz?l mahn?s? budur m?nc?. S?s tonu da çox göz?ldir. Adam? lap keçmi?i xat?rlad?r??,33,0,??
Men Elza xanimin mahnilarini çox sevirem... çox t?süf ki indi bel? mahnilar oxumur.. ?air?m deyib ona yara?mayan sözlerden ?eirler oxyur... çox heyf bele ?s?rl?rin sahibi indi zarafat m?z? mövzusu olub... Elza xanim belke de bu yorumu heç görmeyecek ama isteyerdim ki görsün v? ona son xai?m odur o ?eirlerileri il? yox bele ?s?rl?ri il? yadda qalsn.. o ?eirleri ba?ndan keçsn bele göz?l xanim o t?rzd? yadda qalmasn heyf....,"M?n Elza xan?m?n mahn?lar?n? çox sevir?m... Çox t??ssüf ki, indi bel? mahn?lar oxumur.. “?air?m” deyib ona yara?mayan sözl?rl? ?eirl?r oxuyur. Çox heyif. Bel? ?s?rl?rin sahibi indi zarafat mövzusu olub. Elza xan?m b?lk? d? bu yorumu heç görm?y?c?k, amma ist?rdim ki, görsün. Son xahi?im odur ki, o ?eirl?rl? yox, bel? ?s?rl?rl? yadda qals?n....",15,1,
"Beynim susmur el? hey dü?ünür heç cür bir q?rara g?l? bilmir gelecek qay??s? üstümd?ki basq? m?nd? olan gözl?ntil?r öft?likl?r m?suliyy?tl?r ?traf?mdak? insanlar yüzl?rl? cavabs?z suallar b?lk?l?r , niy?l?r, ka?kil?r imkan vermirl?r yatma?a ba?a dü?dünüz beyin susmur el? cavab axtar?r","Beynim susmur, el? hey dü?ünür. Heç cür bir q?rara g?l? bilmir?m. G?l?c?k qay??s?, üz?rimd?ki basq?, gözl?ntil?r, öhd?likl?r, m?suliyy?tl?r, ?traf?mdak? insanlar… Yüzl?rl? cavabs?z sual, b?lk?l?r, niy?l?r, ka?kil?r yatma?a imkan vermir. Beyin susmur, cavab axtar?r.",5,1,
Elza xan?m?n bu ?s?ri b?sdir ki musiqi tarixin? dü?sün ????,"Elza xan?m?n bu ?s?ri b?sdir ki, musiqi tarixin? dü?sün????",10,0,????
"Nec? içd?n, ür?yini qoyaraq, q?lbi yand?raraq ifa edir??","Nec? içd?n, ür?yini qoyaraq, q?lbi yand?raraq ifa edir??",76,0,??
"Instagramda g?zirdim Manaf ç?xd? qaba??ma deyir, Elza yax?? mü??nni olsayd? toylar? olard?.","Instagramda g?zirdim, Manaf ç?xd? qar??ma, deyir: “Elza yax?? mü??nni olsayd? toylar? olard?”.",3,1,
"Bu el? bir mah?d?r ki, 7 il sonra koment bildirs?m d? tutar??","Bu el? bir mahn?d?r ki, 7 il sonra bel? ??rh yazsam tutar??",10,0,??
"Elza xan?m, bir ?air kimi bir heçsiniz, amma, mü??nni, b?st?kar kimi çox ?la! Heyif ki, baya?? ?airliyinizl? d?y?rinizi s?f?r edirsiniz!","Elza xan?m, ?air kimi bir heçsiniz, amma mü??nni v? b?st?kar kimi çox ?las?n?z! Heyif ki, baya?? ?airliyinizl? d?y?rinizi s?f?rlay?rs?n?z!",0,0,
Elza özü çox göz?ldi t?bii ona gör?  ona pax?ll?q edirl?r ?sl musiqini t?bli? edir m?nim göz?l Sumqay?tl?m,"Elza özü çox göz?ldir, t?bii ki pax?ll?q edirl?r. ?sl musiqini t?bli? edir, m?nim göz?l sumqay?tl?m.",5,1,
M?n bunu niye indi bilir?m??,M?n bunu niy? indi bilir?m???,7,0,??
"""?lk görü?"" d?n g?l?nl?r ??",“?lk görü?”d?n g?l?nl?r??,310,14,??
S?n niy? ?er yazma?a ba?lad?n ax?? 100 ilin musiqil?rin? nöqt? vuran ifad?r bu.,S?n niy? ?eir yazma?a ba?lad?n ax?? 100 ilin musiqil?rin? nöqt? vuran ifad?r bu.,5,0,
"Yalvar?ram g?lm? sabah...
Ayr?l???n olub agah??(04.12.2020)??","“Yalvar?ram g?lm? sabah, ayr?l???n olub agah”??(04.12.2020)??",45,2,??
Kas ozunu bu qeder hormetden salmazdin buralarda qalardin bele xatirlanardin,"Ka? özünü bu q?d?r hörm?td?n salmazd?n. Burada qalard?n, bel? xat?rlanard?n.",4,0,
Elza xan?m?n ba??na ananas qoymayan vaxtlar??.......,Elza xan?m?n ba??na ananas qoymayan vaxtlar??.......,19,1,?
2025 kiml?r var?,2025-ci ild? kiml?r var?,19,0,
1:08  B?lk?d? bizim mahn?m?z budur ????Son vida son görü? ??,"1:08 – B?lk? d? bizim mahn?m?z budur????.Son vida, son görü? ??",19,0,??????
Cox agir mahnidi... Tebii ki anlayana …,"Çox a??r mahn?d?r... T?bii ki, anlayana...",2,0,
Gül kimi s?si var amma yazd??? küç? sözl?ri onu hörm?td?n sald?!,"Gül kimi s?si var, amma yazd??? küç? sözl?ri onu hörm?td?n sald?!",2,0,
"Olmayan sevgilinin acisini çekmek ""Son Vida""",Olmayan sevgilinin ac?s?n? ç?km?k – “Son Vida”.,44,1,
Elzan?n ?n yax?? mahn?lar?ndan biri. Sözl?ri d? ?lad?r. Biz Elza xan?mdan bel? mahn?lar gözl?yirik.,Elzan?n ?n yax?? mahn?lar?ndan biridir. Sözl?ri d? ?lad?r. Biz Elza xan?mdan bel? mahn?lar gözl?yirik.,34,0,
Elzaya noldusa bu mahn?dan sonra olduuu,Elzaya n? oldusa bu mahn?dan sonra oldu.,0,0,
"Aygün B?yl?ri ölümünd?n sonra k??f etdim. Bir ara durmadan musiqil?rin? qulaq as?rd?m, s?si hüzur verirdi. Reall?qdan sanki uzaqla??rd?m. Bu mahn?yla da dün?n rastla?d?m. Yax?? ki gec olmad?. Bel? möht???m ?s?r yaratd???n?z üçün çox sa? olun??","Aygün B?yl?ri ölümünd?n sonra k??f etdim. Bir ara durmadan musiqil?rin? qulaq as?rd?m, s?si hüzur verirdi. Reall?qdan uzaqla??rd?m. Dün?n bu mahn? il? rastla?d?m. Yax?? ki gec olmad?. Bel? möht???m ?s?r üçün çox sa? olun??",3,0,??
"Elza Xan?m?n ?eirl?rini b?y?nmir?m, amma mahn?lar?n? b?y?nir?m ????","Elza xan?m?n ?eirl?rini b?y?nmir?m, amma mahn?lar?n? b?y?nir?m????",1,0,????
Tiktokdan gelenlere salam,TikTokdan g?l?nl?r? salam.,14,0,
Elza kimi havalanacam sonunda y?qin ki,Elza kimi havalanaca?am ax?rda y?qin.,1,0,
?slind? ?eirl?rind? 90 faizind? çox böyük m?nalar var sad?c? onu d?rk elemey üçün ya?amaq laz?md? birazda deli olmaq ?,"?slind? ?eirl?rinin 90 faizind? böyük m?nalar var. Sad?c? onu d?rk etm?k üçün ya?amaq laz?md?r, bir az da d?li olmaq?",29,1,?
Yalvar?raaam g?lm? sabaaaaah(imtahan?m var)??,Yalvar?raaam g?lm? sabaaaaah(imtahan?m var)??,2,0,??
"Yaxsi b?st?kar, v? ifaci. Bir sözl? s?n?tkar, qald? ki ?eirl?ri onlar?nda oz kütl?si var. ?fadan doymaq olmur??",Yax?? b?st?kar v? ifaç?. Bir sözl? s?n?tkar. ?eirl?rinin d? öz kütl?si var. ?fadan doymaq olmur??,15,0,??
T?kc? bu mahn?s?na xalq artisti ad? dü?ür,T?kc? bu mahn?s?na gör? xalq artisti ad? dü?ür.,5,0,
hemi?e güldüren Elza bu defe dü?ündürdü,H?mi?? güldür?n Elza bu d?f? dü?ündürdü.,0,1,
bu ?s?r ?edevrdir.,Bu ?s?r ?edevrdür.,5,0,
2025 di ama s?s m?ni 1998 1999 cu ill?r? babam?n n?n?min yan?na k?ndimiz? apard? ????,"2025-dir, amma s?s m?ni 1998–1999-cu ill?r?, babam?n n?n?min yan?na, k?ndimiz? apard?????",3,0,????
"Elzan?n t?k ?ah ?s?ri. Ka? bütün ifalar? mahn?lar? bu cür olard?.özünü ?air? ad?yla biyab?r etdi, gözden hörm?td?n sald?",Elzan?n t?k ?ah ?s?ridir. Ka? bütün mahn?lar? bel? olayd?. Özünü ?air ad? il? hörm?td?n sald?.,2,0,
"Çox t??süf edir?m ki, bu vaxta kimi qulaq asmam??am buna.","Çox t??ssüf edir?m ki, bu vaxta q?d?r qulaq asmam??am.",25,1,
"t?k bu ifaya gör? böyük hörm?t qazanm??d?, ?eirl?rl? m?hv el?di.B?lk? d? bu mahn?n? o q?d?r ür?kd?n oxuyub ki sonra a?l?n?n bir qismini itirib.","T?k bu ifaya gör? böyük hörm?t qazanm??d?, ?eirl?rl? m?hv etdi.",2,0,
Deyilene gore elza bu mahnidan sonra deli oldu,Deyil?n? gör? Elza bu mahn?dan sonra d?li oldu.,2,1,
"Bu qad?n ?eir yazmas?n .Mahn? b?st?l?sin, oxusun.Bel? yax??d?.","Bu qad?n ?eir yazmas?n. Mahn? b?st?l?sin, oxusun. Bel? daha yax??d?r.",21,0,
Elza çok istedadl? v? orijinal mü??nnidir. Gic-gic ?erl?r yazma?? bu h?qiq?ti d?yi?mir,Elza çox istedadl? v? orijinal mü??nnidir. Gic-gic ?eirl?r yazmas? bu h?qiq?ti d?yi?mir.,2,0,
Sözl?r kim? aiddir bil?n varsa desin d?,"Sözl?r kim? aiddir, bil?n varsa desin.",1,0,
Niy? spotify-da yoxdu?(((,Niy? Spotify-da yoxdur?(((,2,0,
q?nay?b d?li ad?n? qo?anlar? bilmir?m amma m?n elza xan?m? bu mahn?s? il? xat?rlayacam,"Q?nay?b d?li ad?n? qo?anlar? bilmir?m, amma m?n Elza xan?m? bu mahn?s? il? xat?rlayaca?am.",2,0,
Bu mahniya her qulaq asanda aglamamaq mumkun deyil...??,Bu mahn?ya h?r qulaq asanda a?lamamaq mümkün deyil...??,50,0,??
2026-c? ild? h?l? d? qulaq asan var?,2026-c? ild? h?l? d? qulaq asan var?,8,1,
Ka? bu görü? olmayayd?... Dar?x?ram çatm?r havam... ,"“Ka? bu görü? olmayayd?… Dar?x?ram, çatm?r havam…”",12,1,
"Niy? oldun ax? ""?air"" g?l qay?t b?st?karl??a??","Niy? oldun ax? ""?air"", g?l qay?t b?st?karl??a??",1,0,??
Bu dünyada Elzan? dey?s?n t?k m?n ba?a dü?ür?m.,Bu dünyada Elzan? dey?s?n t?k m?n ba?a dü?ür?m.,15,5,
"Ac? xatir?n qalacaq,yen? q?lbim dolacaq ???? HALAL OLSUN ELZA XANIMA","Ac? xatir?n qalacaq, yen? q?lbim dolacaq???? Halal olsun Elza xan?ma.",12,0,????
"Bu son vida,bu son görü?..","Bu son vida, bu son görü?..",8,0,
"Kim dey?r ki, o ?eirl?r d? Elza xan?ma aiddi ??(mahn?n? kim dinl?s? yorumu b?y?n?r g?lib dinl?y?r?m??","Kim dey?r ki, o ?eirl?r d? Elza xan?ma aiddir???(mahn?n? kim dinl?s?. ??rhi b?y?n?r g?lib dinl?y?r?m)??",0,0,????
Heç inanmazd?m ki gün g?l?r elzaya qulaq asaram,"Heç inanmazd?m ki, gün g?l?r Elzaya qulaq asaram.",1,0,
Bel? istedad ba?qa yerd? olsa dünya star? olard?,"Bel? istedad ba?qa yerd? olsayd?, dünya ulduzu olard?.",3,0,
?lk d?f? yad?mda deyil d?qiq hans?sa serialda bu mahn?n? e?itmi?dim. “Yanm?? körpül?r “.  D?qiq yad?mda deyil,?lk d?f? hans?sa serialda bu mahn?n? e?itmi?dim.“Yanm?? körpül?r “. D?qiq yad?mda deyil.,2,0,
2025 avqustun istisi dinl?yir?m???,2025 avqustunun istisind? dinl?yir?m???,1,0,???
Mahn?ya qulaq asan ham? fikir? gedir,Mahn?ya qulaq asan h?r k?s fikr? gedir.,5,0,
Bu mahni da cox gozeldir. Qulaq asanda ureyim parcalanir,Bu mahn? da çox göz?ldir. Qulaq asanda ür?yim parçalan?r.,53,1,
"b?st?kar v? mü??nni kimi h?dsiz s?n?t? maliksiniz. Amma ?airlik ?fsuslar olsun ki, sizlik deyil.","B?st?kar v? mü??nni kimi böyük s?n?t? maliksiniz, amma ?airlik sizlik deyil.",15,0,
E?itdiyim ?n göz?l mahn?lardan biri.,E?itdiyim ?n göz?l mahn?lardan biridir.,12,1,
adam?n ür?yini parçal?y?r bu mahn???????,Adam?n ür?yini parçalay?r bu mahn???????,4,2,??????
"Çox möht???m ?s?rdi,, ?n az? 100 d?f? dinl?mi??m yen?d? dinl?yir?m ,, ??????????","Çox möht???m ?s?rdir,, ?n az? 100 d?f? dinl?mi??m, yen? d? dinl?yir?m,,??????????",8,0,??????????
